label1,label2,label3,label4
2,14,47,311
2,14,47,312
2,14,47,313
2,14,48,314
2,14,48,315
2,15,49,316
2,15,49,317
2,15,49,318
2,15,49,319
2,15,50,320
2,15,50,321
2,15,50,322
2,15,50,323
2,15,50,324
2,15,50,325
2,15,50,326
2,15,50,327
2,15,50,328
2,15,50,329
2,15,50,330
2,15,50,331
2,15,50,332
2,15,50,333
2,15,50,334
2,15,50,335
2,15,50,336
2,15,50,337
2,15,50,338
2,15,50,339
2,15,50,340
2,15,50,341
2,15,50,342
2,15,50,343
2,15,50,344
2,15,50,345
2,15,50,346
2,15,50,347
2,15,50,348
2,15,50,349
2,15,51,350
2,15,51,351
2,15,51,352
2,15,51,353
2,15,52,354
2,15,52,355
2,15,52,356
2,15,52,357
2,15,52,358
2,15,52,359
2,15,52,360
2,15,52,361
2,15,52,362
3,16,53,363
3,16,53,364
3,16,53,365
3,16,53,366
3,16,53,367
3,16,53,368
3,16,53,369
3,16,54,370
3,16,54,371
3,16,54,372
3,16,54,373
3,16,54,374
3,16,55,375
3,16,55,376
3,16,55,377
3,16,55,378
3,16,55,379
3,16,55,380
3,16,55,381
3,16,55,382
3,17,56,383
3,17,56,384
3,17,56,385
3,17,56,386
3,17,56,387
3,17,56,388
3,17,56,389
3,17,57,390
3,17,57,391
3,17,57,392
3,17,58,393
3,17,58,394
3,17,58,395
3,17,58,396
3,17,58,397
3,17,58,398
3,17,58,399
3,17,58,400
3,17,58,401
3,18,59,402
3,18,59,403
3,18,59,404
3,18,59,405
3,18,59,406
3,18,59,407
3,18,59,408
3,18,59,409
3,18,59,410
3,18,59,411
3,18,59,412
3,18,60,413
3,18,60,414
3,18,60,415
3,18,60,416
3,18,60,417
3,18,60,418
3,18,60,419
3,18,60,420
3,18,60,421
3,18,60,422
3,18,60,423
3,18,60,424
3,18,60,425
3,18,60,426
3,18,61,427
3,18,61,428
3,18,61,429
3,18,61,430
3,18,61,431
3,18,61,432
3,18,61,433
3,18,61,434
3,18,61,435
3,18,61,436
3,18,61,437
3,18,61,438
3,18,61,439
3,18,61,440
3,18,61,441
3,18,61,442
3,18,62,443
3,18,62,444
3,18,62,445
3,18,62,446
3,18,62,447
3,18,62,448
3,18,62,449
3,18,62,450
3,18,62,451
3,18,62,452
3,18,62,453
3,18,62,454
3,18,62,455
3,18,62,456
3,18,62,457
3,18,62,458
3,18,62,459
3,18,62,460
3,18,62,461
3,19,63,462
3,19,63,463
3,19,63,464
3,19,63,465
3,19,63,466
3,19,64,467
3,19,64,468
3,19,64,469
3,19,64,470
3,19,64,471
3,19,64,472
3,19,64,473
3,19,64,474
3,19,64,475
3,19,64,476
3,19,65,477
3,19,65,478
3,19,65,479
3,19,66,480
3,19,66,481
3,19,66,482
3,19,66,483
3,19,66,484
3,19,66,485
3,19,66,486
3,19,66,487
3,19,66,488
3,19,66,489
3,19,66,490
3,19,67,491
3,19,67,492
3,19,67,493
3,19,67,494
3,19,67,495
3,19,67,496
3,19,67,497
3,19,67,498
3,19,67,499
3,19,67,500
3,19,68,501
3,19,68,502
3,19,68,503
3,19,68,504
3,19,68,505
3,19,68,506
3,19,68,507
3,19,68,508
3,19,68,509
3,19,68,510
3,19,68,511
3,20,69,512
3,20,69,513
3,20,70,514
3,20,70,515
3,20,70,516
3,20,70,517
3,20,70,518
3,20,70,519
3,20,70,520
3,20,70,521
3,20,70,522
3,20,70,523
3,20,70,524
3,20,70,525
3,20,70,526
3,20,70,527
3,20,70,528
3,20,71,529
3,20,71,530
3,20,71,531
3,20,71,532
3,20,71,533
3,20,71,534
3,20,71,535
3,20,71,536
3,20,71,537
3,20,71,538
3,20,71,539
3,20,71,540
3,20,71,541
3,20,71,542
3,20,71,543
3,20,71,544
3,20,72,545
3,20,72,546
3,20,73,547
3,20,73,548
3,20,73,549
3,20,73,550
3,20,73,551
3,21,74,552
3,21,74,553
3,21,74,554
3,21,74,555
3,21,74,556
3,21,74,557
3,21,74,558
3,21,74,559
3,21,74,560
3,21,74,561
3,21,74,562
3,21,74,563
3,21,74,564
3,21,75,565
3,21,75,566
3,21,75,567
3,21,75,568
3,21,75,569
4,22,76,570
4,22,76,571
4,22,76,572
4,22,76,573
4,22,76,574
4,22,76,575
4,22,76,576
4,22,76,577
4,22,76,578
4,22,76,579
4,22,76,580
4,22,76,581
4,22,77,582
4,22,77,583
4,22,77,584
4,22,77,585
4,22,77,586
4,22,77,587
4,22,77,588
4,22,77,589
4,22,77,590
4,22,77,591
4,22,77,592
4,22,78,593
4,22,78,594
4,22,78,595
4,22,78,596
4,23,79,597
4,23,79,598
4,23,79,599
4,23,79,600
4,23,79,601
4,23,79,602
4,23,80,603
4,23,81,604
4,23,81,605
4,23,81,606
4,23,81,607
4,23,81,608
4,23,81,609
4,23,81,610
4,23,81,611
4,23,81,612
4,23,81,613
4,23,81,614
4,23,81,615
4,23,82,616
4,23,82,617
4,23,82,618
4,23,83,619
4,23,83,620
4,23,83,621
4,23,83,622
4,23,83,623
4,23,83,624
4,23,83,625
4,23,83,626
4,23,83,627
4,23,83,628
4,23,83,629
4,24,84,630
4,24,84,631
4,24,84,632
4,24,84,633
4,24,84,634
4,24,84,635
4,24,85,636
4,24,85,637
